id,created,uuid,parent_uuid,event,task_action,failed,changed,playbook,play,task,role,job_id,host_id,host_name
1913,2020-03-21 00:08:32.282274+00,0242ac12-0005-952d-a662-00000000007c,0242ac12-0005-952d-a662-000000000007,playbook_on_task_start,"""lineinfile""",f,t,centos_security_updates.yml,use galaxy centos_security_updates role,Update SSH configuration to be more secure.,geerlingguy.security,69,,""
1914,2020-03-21 00:08:32.257393+00,e5b064f2-adaa-4871-83e5-2d4dfd0d69a3,0242ac12-0005-952d-a662-000000000013,playbook_on_include,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,,""
1915,2020-03-21 00:08:32.291067+00,37fe3104-1202-4557-87e9-8e306d73d71b,0242ac12-0005-952d-a662-00000000007c,runner_on_start,"""lineinfile""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Update SSH configuration to be more secure.,geerlingguy.security,69,2,host0320a
1916,2020-03-21 00:08:32.371815+00,39c5e6d6-f265-4e53-9586-0887117d239b,0242ac12-0005-952d-a662-00000000007c,runner_on_start,"""lineinfile""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Update SSH configuration to be more secure.,geerlingguy.security,69,1,host0320b
1917,2020-03-21 00:08:33.85139+00,da3f3d62-4bb4-4079-9047-42427a809174,0242ac12-0005-952d-a662-00000000007c,runner_item_on_ok,"""lineinfile""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Update SSH configuration to be more secure.,geerlingguy.security,69,1,host0320b
1918,2020-03-21 00:08:34.168556+00,6ade8949-177c-4b29-8e8a-69d52ccc950a,0242ac12-0005-952d-a662-00000000007c,runner_item_on_ok,"""lineinfile""",f,t,centos_security_updates.yml,use galaxy centos_security_updates role,Update SSH configuration to be more secure.,geerlingguy.security,69,2,host0320a
1919,2020-03-21 00:08:34.322945+00,1823fb8e-d2bb-4af2-be94-981d4931b0f9,0242ac12-0005-952d-a662-00000000007c,runner_item_on_ok,"""lineinfile""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Update SSH configuration to be more secure.,geerlingguy.security,69,1,host0320b
1920,2020-03-21 00:08:34.767366+00,4083935d-6340-4f1a-a99d-d028f6ccb47b,0242ac12-0005-952d-a662-00000000007c,runner_item_on_ok,"""lineinfile""",f,t,centos_security_updates.yml,use galaxy centos_security_updates role,Update SSH configuration to be more secure.,geerlingguy.security,69,2,host0320a
1921,2020-03-21 00:08:34.866489+00,d81b0ccb-704e-4d89-8274-3859312cfa41,0242ac12-0005-952d-a662-00000000007c,runner_item_on_ok,"""lineinfile""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Update SSH configuration to be more secure.,geerlingguy.security,69,1,host0320b
1922,2020-03-21 00:08:35.507186+00,c2ffcf92-5a12-4d41-8640-ada1deae62ea,0242ac12-0005-952d-a662-00000000007c,runner_item_on_ok,"""lineinfile""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Update SSH configuration to be more secure.,geerlingguy.security,69,1,host0320b
1923,2020-03-21 00:08:35.53343+00,c9cf019c-2145-4b02-99ef-9caa2742b92d,0242ac12-0005-952d-a662-00000000007c,runner_item_on_ok,"""lineinfile""",f,t,centos_security_updates.yml,use galaxy centos_security_updates role,Update SSH configuration to be more secure.,geerlingguy.security,69,2,host0320a
1924,2020-03-21 00:08:36.304477+00,395e5cc4-677a-4901-82ff-1616a22628b5,0242ac12-0005-952d-a662-00000000007c,runner_item_on_ok,"""lineinfile""",f,t,centos_security_updates.yml,use galaxy centos_security_updates role,Update SSH configuration to be more secure.,geerlingguy.security,69,2,host0320a
1925,2020-03-21 00:08:36.326757+00,d18a21e0-364d-4511-a6a9-0061b35483e3,0242ac12-0005-952d-a662-00000000007c,runner_item_on_ok,"""lineinfile""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Update SSH configuration to be more secure.,geerlingguy.security,69,1,host0320b
1926,2020-03-21 00:08:37.059409+00,adeeb9a7-26f8-49fd-a71a-04e51d6da4a4,0242ac12-0005-952d-a662-00000000007c,runner_item_on_ok,"""lineinfile""",f,t,centos_security_updates.yml,use galaxy centos_security_updates role,Update SSH configuration to be more secure.,geerlingguy.security,69,2,host0320a
1927,2020-03-21 00:08:37.070828+00,187d4ab7-2478-4468-86c5-423f14ebf94c,0242ac12-0005-952d-a662-00000000007c,runner_item_on_ok,"""lineinfile""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Update SSH configuration to be more secure.,geerlingguy.security,69,1,host0320b
